age,job,marital,education,balance,housing,loan,month,campaign,previous
59.0,admin.,married,secondary,2343.0,yes,no,may,1.0,0.0
56.0,admin.,married,secondary,45.0,no,no,may,1.0,0.0
41.0,technician,married,secondary,1270.0,yes,no,may,1.0,0.0
55.0,services,married,secondary,2476.0,yes,no,may,1.0,0.0
54.0,admin.,married,tertiary,184.0,no,no,may,2.0,0.0
42.0,management,single,tertiary,0.0,yes,yes,may,2.0,0.0
56.0,management,married,tertiary,830.0,yes,yes,may,1.0,0.0
60.0,retired,divorced,secondary,545.0,yes,no,may,1.0,0.0
37.0,technician,married,secondary,1.0,yes,no,may,1.0,0.0
28.0,services,single,secondary,5090.0,yes,no,may,3.0,0.0
38.0,admin.,single,secondary,100.0,yes,no,may,1.0,0.0
30.0,blue-collar,married,secondary,309.0,yes,no,may,2.0,0.0
29.0,management,married,tertiary,199.0,yes,yes,may,4.0,0.0
46.0,blue-collar,single,tertiary,460.0,yes,no,may,2.0,0.0
31.0,technician,single,tertiary,703.0,yes,no,may,2.0,0.0
35.0,management,divorced,tertiary,3837.0,yes,no,may,1.0,0.0
32.0,blue-collar,single,primary,611.0,yes,no,may,3.0,0.0
49.0,services,married,secondary,-8.0,yes,no,may,1.0,0.0
41.0,admin.,married,secondary,55.0,yes,no,may,2.0,0.0
49.0,admin.,divorced,secondary,168.0,yes,yes,may,1.0,0.0
28.0,admin.,divorced,secondary,785.0,yes,no,may,2.0,0.0
43.0,management,single,tertiary,2067.0,yes,no,may,1.0,0.0
43.0,management,divorced,tertiary,388.0,yes,no,may,2.0,0.0
43.0,blue-collar,married,primary,-192.0,yes,no,may,2.0,0.0
37.0,unemployed,single,secondary,381.0,yes,no,may,2.0,0.0
35.0,blue-collar,single,secondary,40.0,yes,no,may,4.0,0.0
31.0,technician,single,tertiary,22.0,yes,no,may,3.0,0.0
43.0,blue-collar,single,secondary,3.0,yes,no,may,3.0,0.0
31.0,admin.,married,secondary,307.0,yes,no,may,1.0,0.0
28.0,blue-collar,single,secondary,759.0,yes,no,may,1.0,0.0
32.0,blue-collar,married,secondary,-1.0,yes,no,may,1.0,0.0
60.0,technician,married,primary,65.0,yes,no,may,2.0,0.0
26.0,blue-collar,single,secondary,82.0,yes,no,may,1.0,0.0
40.0,blue-collar,married,secondary,10.0,yes,no,may,2.0,0.0
33.0,blue-collar,divorced,primary,390.0,yes,no,may,2.0,0.0
32.0,management,single,tertiary,311.0,no,no,may,2.0,0.0
35.0,blue-collar,married,primary,414.0,no,no,may,4.0,0.0
33.0,management,divorced,secondary,5.0,yes,no,may,1.0,0.0
38.0,management,married,tertiary,119.0,yes,no,may,4.0,0.0
23.0,entrepreneur,single,primary,4.0,yes,no,may,2.0,0.0
60.0,blue-collar,married,primary,1262.0,yes,yes,may,1.0,0.0
48.0,management,married,tertiary,1949.0,yes,no,may,2.0,0.0
45.0,entrepreneur,divorced,tertiary,-395.0,yes,no,may,1.0,0.0
36.0,blue-collar,married,secondary,1165.0,yes,no,may,4.0,0.0
52.0,management,married,unknown,2240.0,yes,no,may,1.0,0.0
35.0,blue-collar,divorced,primary,300.0,yes,no,may,2.0,0.0
43.0,technician,married,secondary,3285.0,yes,no,may,2.0,0.0
52.0,housemaid,married,secondary,3923.0,yes,no,may,3.0,0.0
53.0,technician,divorced,primary,1443.0,yes,no,may,1.0,0.0
48.0,blue-collar,divorced,primary,24.0,yes,no,may,1.0,0.0
41.0,blue-collar,single,primary,1618.0,yes,no,may,1.0,0.0
39.0,management,divorced,tertiary,517.0,yes,yes,may,1.0,0.0
59.0,retired,married,secondary,1521.0,yes,yes,may,2.0,0.0
41.0,blue-collar,married,secondary,2823.0,yes,no,may,1.0,0.0
48.0,blue-collar,married,secondary,1405.0,yes,no,may,2.0,0.0
40.0,admin.,married,secondary,1535.0,yes,no,may,1.0,0.0
48.0,blue-collar,married,secondary,1596.0,yes,no,may,1.0,0.0
60.0,retired,married,primary,1542.0,yes,no,may,1.0,0.0
40.0,technician,single,unknown,3652.0,yes,no,may,2.0,0.0
57.0,technician,married,tertiary,-1.0,no,no,may,2.0,0.0
51.0,blue-collar,married,secondary,7180.0,yes,no,may,1.0,0.0
41.0,blue-collar,divorced,secondary,5291.0,yes,no,may,3.0,0.0
41.0,blue-collar,married,secondary,1384.0,yes,no,may,4.0,0.0
